Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean UMI Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean UMI Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000197530,MIB2,0.15279443507691085,-0.43363856608415263,0.34879812109003239,0.054506156214887913,-2.2194906493412807,1.2508193890650888e-09,0.40866766478495692,1.9514567356748265,7.4977035743397132e-10,0.096929583103948752,-0.66509989240676592,1.0
ENSG00000189409,MMP23B,0.011459582630768314,-2.636494635934906,1.1270793267838641e-08,0.0062095621004302683,-3.4457001148361037,2.2316833332281632e-11,0.16669338958333768,4.1947959213314139,2.1530890633135358e-26,0.0,-1.1285821315081481,1.0
ENSG00000248333,CDK11B,0.10058966975896631,-0.98196891225743643,0.0080654921823748935,0.19111652242435381,0.37974127132655866,0.35098892045592384,0.2177768476814573,0.61780939628734144,0.13586986274928931,0.0,-2.7943829093517327,1.0
ENSG00000272004,RP11-345P4.10,0.00063664347948712849,0.73028769473671673,1.0,0.0,-0.67311061093917601,0.74447854905559863,0.00089620101926525639,1.4552563835013821,0.72911159777133272,0.0,5.0279223541718432,1.0
ENSG00000189339,SLC35E2B,0.10440953063588908,0.37551072027534715,0.42444736934461286,0.068995134449225198,-0.53322443587824697,0.23902154639811812,0.097685911099912939,0.18133366152485131,0.8070093157115521,0.024232395775987188,-0.93400960499463759,1.0
ENSG00000269737,RP11-345P4.7,0.0,-0.26971230526328327,1.0,0.0,-0.088148110218019937,1.0,0.00089620101926525639,2.4552563835013821,0.52752524719320759,0.0,5.6128848548929993,1.0
ENSG00000008128,CDK11A,0.23619473088972467,-0.42404045165457727,0.334953547232205,0.28357000258631559,-0.023699402491177857,1.0,0.37281962401434665,0.54629145965500459,0.18331125760738323,0.0,-3.6147310885212249,1.0
ENSG00000215790,SLC35E2,0.028648956576920785,0.66888715007257282,0.25235715920295948,0.011729172856368285,-1.166150622219293,0.038343943316418744,0.02688603057795769,0.43217277038834023,0.59310323403036225,0.0,0.073726043784967388,1.0
ENSG00000008130,NADK,0.036925321810253452,-2.1585587254020409,1.1998534807869872e-08,0.22768394368244319,1.9162170823433819,1.8965723325289836e-09,0.094997308042117173,-0.40690297508366369,0.5305003170335223,0.0,-2.3383998600739728,1.0
ENSG00000078369,GNB1,0.098043095841017794,-1.544334685372289,8.0849156289589148e-06,0.37602348274827735,1.516768996878781,5.6872439228786205e-07,0.17565539977599023,-0.39029734712523956,0.52752524719320759,0.1938591662078975,-0.024545065722292314,1.0
ENSG00000231050,RP1-140A9.1,0.00063664347948712849,0.73028769473671673,1.0,0.00068995134449225206,0.91185188978198006,1.0,0.0,-0.12970611721977399,1.0,0.0,5.0279223541718432,1.0
ENSG00000178821,TMEM52,0.0,-1.8546748059844393,0.39917470091267709,0.0013799026889845041,0.49681439050313614,1.0,0.002688603057795769,1.870293882780226,0.34695507403713061,0.0,4.0279223541718432,1.0
ENSG00000187730,GABRD,0.0,-1.2697123052632833,0.84051497340476411,0.0,-1.0881481102180199,0.81135412271015817,0.0,-0.54474361649861791,1.0,0.072697187327961557,8.6128848548930002,0.008583718147123753
ENSG00000067606,PRKCZ,0.032468817453843557,0.62337249082020474,0.27534506870624081,0.0082794161339070239,-1.9575640004078751,0.00033520934837356995,0.03853664382840602,0.91468800213867851,0.10289880350977207,0.0,-0.12858213150814812,1.0
ENSG00000271806,RP5-892K4.1,0.0,-1.2697123052632833,0.80758238246715675,0.002069854033476756,2.9118518897819801,0.14789562450741825,0.0,-0.54474361649861791,1.0,0.0,4.6128848548929993,1.0
ENSG00000182873,RP11-181G12.2,0.0,-0.26971230526328327,1.0,0.0,-0.088148110218019937,1.0,0.00089620101926525639,2.4552563835013821,0.52752524719320759,0.0,5.6128848548929993,1.0
ENSG00000162585,FAAP20,0.32596146149740979,-0.38583836237973701,0.38722823544321139,0.44156886047504129,0.29351793106148105,0.47418924520512712,0.41583727293907896,0.13643419948184099,0.8326637009178296,0.1696267704319103,-1.0462191085806622,1.0
ENSG00000157933,SKI,0.021009234823075242,-1.3421208007913332,0.0032442870645511494,0.071064988482701957,1.4224670490430551,0.00022362134907434654,0.034951839751344999,-0.32084760457178252,0.72710500108821541,0.0,-0.84654676374429805,1.0
ENSG00000116151,MORN1,0.0076397217538455419,0.43072741287780847,0.79899845030942429,0.0048296594114457646,-0.48046553299678063,0.67813789092702015,0.0071696081541220511,0.30325329005633161,0.92592881329872434,0.0,1.8055299328353946,1.0
ENSG00000157916,RER1,0.18462660905126727,-0.67729399962307979,0.07473290763941845,0.30840825098803665,0.45476421161298175,0.21798842921101319,0.28319952208782101,0.22056359338555098,0.69975611880632893,0.1938591662078975,-0.25884929530190304,1.0
