Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000205846,CLEC6A,0.00033507836239355331,-3.4098819736702728,0.0010019217927741352,0.0065309573971344889,3.4098819736702728,0.0010019217927741352
ENSG00000166527,CLEC4D,0.00033507836239355331,-6.164769475833741,5.9429354323785052e-19,0.047497871979159917,6.164769475833741,6.1996070623483415e-19
ENSG00000166523,CLEC4E,0.0046910970735097469,-6.7156904031943574,1.4286159770966179e-64,0.52782010236841459,6.7156904031943574,1.5584901568326743e-64
ENSG00000166532,RIMKLB,0.019434545018826094,0.47276107569156878,0.53980856262040255,0.013655638194008475,-0.47276107569156878,0.539808562620402
ENSG00000249790,RP11-20D14.6,0.0067015672478710668,1.2454698549422814,0.39942652326561207,0.0023748935989579959,-1.2454698549422814,0.39942652326561218
ENSG00000282022,RP11-259O18.5,0.0,-1.8249194729491158,0.54067669626948767,0.00059372339973949898,1.8249194729491158,0.54067669626948767
ENSG00000111752,PHC1,0.029486895890632695,0.65081395801728092,0.24635360443258603,0.018405425391924468,-0.65081395801728092,0.24635360443258603
ENSG00000003056,M6PR,0.46140290501592296,-0.30944863647478638,0.43229758469527169,0.57175563394913753,0.30944863647478638,0.43229758469527152
ENSG00000139187,KLRG1,0.38835582201412833,4.4970086219382459,1.7995233939125784e-27,0.01662425519270597,-4.4970086219382459,1.8753460088246252e-27
ENSG00000245105,A2M-AS1,0.01306805613334858,1.0375770033009495,0.1519345031876348,0.0059372339973949896,-1.0375770033009495,0.15193450318763471
ENSG00000175899,A2M,0.0016753918119677667,1.7600430277720402,0.36000871483348867,0.0,-1.7600430277720402,0.36000871483348867
ENSG00000126838,PZP,0.00033507836239355331,-1.4098819736702719,0.49819460734233245,0.001187446799478998,1.4098819736702719,0.49819460734233245
ENSG00000237248,LINC00987,0.0040209403487226399,1.8755202451919768,0.12371965640845208,0.00059372339973949898,-1.8755202451919768,0.12371965640845208
ENSG00000111796,KLRB1,1.369800345464846,6.265722278968731,2.5380435841239149e-46,0.01721797859244547,-6.265722278968731,2.6925331935923272e-46
ENSG00000256442,RP11-705C15.4,0.00033507836239355331,0.17508052705088417,1.0,0.0,-0.17508052705088417,1.0
ENSG00000069493,CLEC2D,0.32268046298499187,3.1810792676723274,2.9663630489036432e-18,0.035029680584630442,-3.1810792676723274,3.0878204335831625e-18
ENSG00000256582,RP11-75L1.1,0.00033507836239355331,0.17508052705088417,1.0,0.0,-0.17508052705088417,1.0
ENSG00000184293,CLECL1,0.013403134495742134,1.2107044367816053,0.13556150555715751,0.0053435105976554903,-1.2107044367816053,0.13556150555715751
ENSG00000110848,CD69,1.4927741044632801,4.939062039772832,1.2276483443327423e-38,0.048091595378899413,-4.939062039772832,1.2951015500653106e-38
ENSG00000150045,KLRF1,0.27107839517638466,5.2518961241017141,2.7186563780949554e-26,0.0065309573971344889,-5.2518961241017141,2.8460933958181566e-26
